Player,stats_Born,player_id
Curro,1996,208116.0
Luca D'Andrea,2004,725242.0
Damien Da Silva,1988,57370.0
Andréa Dacourt,2005,1072902.0
Moanes Dabbur,1992,145866.0
Danilo D'Ambrosio,1988,55769.0
Finn Dahmen,1998,251299.0
Colin Dagba,1998,460629.0
Patson Daka,1998,365172.0
Mahmoud Dahoud,1996,191422.0
Thijs Dallinga,2000,538964.0
Diogo Dalot,1999,357147.0
Muhammed Damar,2004,789898.0
Mikkel Damsgaard,2000,540941.0
Danilo,2001,808509.0
Flavius Daniliuc,2001,322655.0
Danilo,1991,145707.0
Arnaut Danjuma,1997,355861.0
Kévin Danois,2004,743496.0
Dante,1983,16136.0
Kevin Danso,1998,263236.0
Márton Dárdai,2002,432281.0
Achraf Dari,1999,566823.0
Vladimír Darida,1990,179643.0
Sergi Darder,1993,142021.0
Josh Dasilva,1998,340321.0
Matteo Darmian,1989,54906.0
David Datro Fofana,2002,787232.0
Alphonso Davies,2000,424204.0
Juan David Cabal,2001,686965.0
Jonathan David,2000,533738.0
Tom Davies,1998,314210.0
Ben Davies,1993,192765.0
Paweł Dawidowicz,1995,248732.0
Kevin De Bruyne,1991,88755.0
Craig Dawson,1990,121477.0
Manuel De Luca,1998,375816.0
Bobby De Cordova-Reid,1993,186186.0
Charles De Ketelaere,2001,435772.0
Rodrigo De Paul,1994,255901.0
Lorenzo De Silvestri,1988,33571.0
Thibault De Smet,1998,340177.0
Tommaso De Nipoti,2003,622031.0
Mattia De Sciglio,1992,88682.0
Grégoire Defrel,1991,163222.0
Koni De Winter,2002,490384.0
Duccio Degl'Innocenti,2003,616169.0
Alberto Del Moral,2000,635347.0
Brecht Dejaegere,1991,159098.0
Romain Del Castillo,1996,353399.0
Fran Delgado,2001,711638.0
Thomas Delaine,1992,170961.0
Andy Delort,1991,122797.0
Karamoko Dembélé,2003,466602.0
Thomas Delaney,1991,91849.0
Sacha Delaye,2002,842425.0
Moussa Dembélé,1996,229004.0
Ousmane Dembélé,1997,288230.0
Siriki Dembélé,1996,488656.0
Ermedin Demirović,1998,335457.0
Kerem Demirbay,1993,125858.0
Merih Demiral,1998,340879.0
Sepp van den Berg,2001,541231.0
Diego Demme,1991,82070.0
Branco van den Boomen,1995,203938.0
Emmanuel Dennis,1997,448854.0
Fabio Depaoli,1997,324282.0
Leander Dendoncker,1995,168157.0
Halil Dervişoğlu,1999,465606.0
Kastriot Dermaku,1992,163647.0
Rémy Descamps,1996,282028.0
Mikkel Desler,1995,221873.0
Sergiño Dest,2000,361104.0
Cyriel Dessers,1994,317806.0
Mattia Destro,1991,88683.0
Gerard Deulofeu,1994,129476.0
Federico Di Francesco,1994,38607.0
Kiernan Dewsbury-Hall,1998,475188.0
Samuel Di Carmine,1988,45389.0
Giovanni Di Lorenzo,1993,169880.0
Michele Di Gregorio,1997,301238.0
Ángel Di María,1988,45320.0
Boulaye Dia,1996,626913.0
Moussa Diaby,1999,395516.0
Mouctar Diakhaby,1996,346289.0
Bafodé Diakité,2001,463605.0
Mamadou Diakhon,2005,1054839.0
Ibrahim Diakité,2003,919173.0
Abdou Diallo,1996,229005.0
Habib Diallo,1995,344888.0
Ibrahima Diallo,1999,413032.0
Baila Diallo,2001,857482.0
Ismael Diallo,1997,375881.0
Moussa Diarra,2000,694509.0
Habib Diarra,2004,876631.0
Stéphane Diarra,1998,428954.0
Mamady Diarra,2000,402002.0
Youba Diarra,1998,564451.0
Krépin Diatta,1999,490426.0
Rúben Dias,1997,258004.0
Mory Diaw,1993,164904.0
Brahim Díaz,1999,314678.0
Luis Díaz,1997,480692.0
Bamba Dieng,2000,822458.0
Justin Diehl,2004,720162.0
Eric Dier,1994,175722.0
Florian Dietz,1998,283871.0
Lucas Digne,1993,126664.0
Tristan Dingomé,1991,126683.0
Federico Dimarco,1997,198116.0
Stole Dimitrievski,1993,165467.0
Junior Dina Ebimbe,2000,536482.0
Eren Dinkçi,2001,645774.0
Sinaly Diomande,2001,702441.0
Lois Diony,1992,126552.0
Edan Diop,2004,745178.0
Sofiane Diop,2000,569389.0
Issa Diop,1997,272622.0
Yehvann Diouf,1999,448632.0
Axel Disasi,1998,386047.0
Tiago Djaló,2000,420465.0
Djené,1991,221150.0
Moussa Djenepo,1998,485424.0
Koffi Djidji,1992,183031.0
Alexander Djiku,1994,250844.0
Berat Djimsiti,1993,165513.0
Moussa Djitte,1999,591796.0
Marko Dmitrović,1992,94308.0
Alan Do Marcolino,2002,783635.0
Ouparine Djoco,1998,594993.0
Dodô,1998,401529.0
Matt Doherty,1992,171679.0
Ben Doak,2005,719673.0
Ritsu Doan,1998,358504.0
Danilho Doekhi,1998,387047.0
Josh Doig,2002,567129.0
Jeremy Doku,2002,486049.0
Carlos Dominguez,2001,636093.0
Kasper Dolberg,1997,283196.0
Nicolás Domínguez,1998,497291.0
John Donald,2000,627290.0
Kyliane Dong,2004,982863.0
Giulio Donati,1990,88684.0
Gianluigi Donnarumma,1999,315858.0
Jordan Dongmo,2001,929612.0
Jodel Dossou,1992,221151.0
Niklas Dorsch,1998,251302.0
Abdoulaye Doucouré,1993,127187.0
Cheick Doucouré,2000,543387.0
Lohann Doucet,2002,830265.0
Siriné Doucouré,2002,802747.0
Guela Doué,2002,711980.0
Désiré Doué,2005,914562.0
Ismaël Doukouré,2003,786436.0
Kamory Doumbia,2003,671594.0
Souleyman Doumbia,1996,296356.0
Kami Doyle,2005,864480.0
